date,team,elo
2026-06-11,Mexico,1860.396053889342
2026-06-11,South Africa,1625.672577855566
2026-06-12,South Korea,1820.4742261293572
2026-06-12,Czech Republic,1694.2713258119002
2026-06-12,Canada,1775.0024663393335
2026-06-12,Bosnia and Herzegovina,1614.1136230252844
2026-06-13,United States,1819.9862831701193
2026-06-13,Paraguay,1756.9955917415004
2026-06-13,Qatar,1644.4033302778887
2026-06-13,Switzerland,1820.5913074379973
2026-06-13,Brazil,1917.8661496750271
2026-06-13,Morocco,1891.4909663879623
2026-06-14,Haiti,1581.4972666875142
2026-06-14,Scotland,1725.7684502107786
2026-06-14,Australia,1824.9596053305913
2026-06-14,Turkey,1806.8326204444993
2026-06-14,Germany,1911.1148435469656
2026-06-14,Curaçao,1527.8850328561696
2026-06-14,Netherlands,1906.1616808970168
2026-06-14,Japan,1882.7141830928958
2026-06-14,Ivory Coast,1763.1531619396117
2026-06-14,Ecuador,1839.1064710737787
2026-06-15,Sweden,1743.6675668080827
2026-06-15,Tunisia,1662.0383617590398
2026-06-15,Spain,2022.9637849589724
2026-06-15,Cape Verde,1627.8421095318176
2026-06-15,Belgium,1844.016242543563
2026-06-15,Egypt,1752.1991457901252
2026-06-15,Saudi Arabia,1668.762110751055
2026-06-15,Uruguay,1838.1513818252783
2026-06-16,Iran,1805.5518807379563
2026-06-16,New Zealand,1677.4929390006798
2026-06-16,France,2001.1040377115123
2026-06-16,Senegal,1823.5903162639913
2026-06-16,Iraq,1692.6238982152868
2026-06-16,Norway,1805.0825593843492
2026-06-17,Argentina,2034.439469095425
2026-06-17,Algeria,1770.7932344926874
2026-06-17,Austria,1808.5832841485658
2026-06-17,Jordan,1674.240566860999
2026-06-17,Portugal,1892.0780803557964
2026-06-17,DR Congo,1689.5884329282137
2026-06-17,England,1951.3703675937259
2026-06-17,Croatia,1845.9956213013688
